"","occ","n_years","n_years_explicit","min_year","max_year","year","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"859",6220,17,17,2003,2019,2011,12,12,1,12,6.5,207795.500741667,205894.629380392,179120.074190686,26774.5551897059,204323.800845098,1570.82853529412,0.00732962120895374,784.822867338809,631.757965686274,41.1199783320404,38.9705882352941,64.9821361317487,72.9607843137255
"860",6230,17,17,2003,2019,2011,12,12,1,12,6.5,1620629.71739461,1606032.68525392,1439460.69592059,166571.989333333,1575014.62935539,31018.0558985294,0.0192811517075822,756.568092907335,637.81818627451,41.2161184431923,39.7279411764706,70.6210507369689,73
"861",6240,17,17,2003,2019,2011,12,12,1,12,6.5,230716.431332353,229101.098202941,206256.79369902,22844.3045039216,224119.50937451,4981.58882843137,0.0212017614480934,666.815076839107,537.685196078431,39.1481020185013,37.3799019607843,65.9490906250456,72.9950980392157
"862",6250,17,17,2003,2019,2011,12,12,1,12,6.5,92323.7067715686,91640.7069916667,79370.8084823529,12269.8985093137,90578.5229176471,1062.18407401961,0.0112045395224436,744.94301661196,615.244901960784,39.8525380934723,37.9411764705882,60.4302313779274,69.6323529411765
"863",6260,17,17,2003,2019,2011,12,12,1,12,6.5,1857941.48403971,1834010.11803382,1578175.08628578,255835.031748039,1774914.53048284,59095.5875509804,0.032158177469526,684.747627372594,557.308210784314,38.15684270435,36.2107843137255,65.6173551749551,73
"864",6300,17,17,2003,2019,2011,12,12,1,12,6.5,24876.2897323529,24692.7185009804,20730.1978941176,3962.52060686274,23943.9488058824,748.769695098039,0.0277195277224084,801.326216269841,712.818848039216,41.6015999453794,39.171568627451,67.6074327030218,70.3897058823529
"865",6310,10,10,2003,2012,2007.5,8,8,1.4,10.2,5.64998556998557,4720.27362073016,4720.27362073016,4254.89170839935,465.381912330808,4689.38999073016,30.88363,0.00339048486852849,1272.16822742304,1218.679002886,35.2879581529582,34.1206168831169,78.0527640698315,77.3441486291486
"866",6320,17,17,2003,2019,2011,12,12,1,12,6.5,420020.242613725,416449.397680392,373620.892666667,42828.5050137255,409030.18599902,7419.21168137255,0.0179140033505605,937.29851889126,793.982279411765,43.779299234183,42.921568627451,71.226553287047,73
"867",6330,17,17,2003,2019,2011,12,12,1,12,6.5,211243.017285294,209942.041855392,184118.352981373,25823.6888740196,205813.352884314,4128.68897107843,0.0187132356162345,671.131649020238,543.954852941176,38.6758511762159,35.7377450980392,60.213756161623,71.3161764705882
"868",6350,8,8,2003,2010,2006.5,12,12,1,12,6.5,900671.71845625,894607.818571875,816375.340607292,78232.4779645833,876458.816867708,18149.0017041667,0.0202952643867851,875.30380963636,771.772604166667,40.5232773426221,39.28125,78.7109782853537,76.5416666666667
