"","occ2010","n_years","n_years_explicit","min_year","max_year","year","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"352",7020,20,20,2000,2019,2009.5,12,12,1,12,6.5,228807.884629167,226782.98250625,217138.430572917,9644.55193333333,201286.150002083,25496.8325041667,0.109647276467355,947.90558370801,856.492645833333,42.1013918172583,41.05,83.9251367632479,81.0541666666667
"353",7030,17,17,2003,2019,2011,11.9411764705882,11.9411764705882,1,12,6.524064171123,12537.6691957219,12462.0976610963,12122.6835141266,339.414146969697,10785.6214677807,1676.47619331551,0.123593423533885,1019.38408073381,966.68175802139,42.5879218140248,40.2473262032086,86.1553712968474,81.9966577540107
"354",7040,20,20,2000,2019,2009.5,12,12,1,12,6.5,40289.7770729167,39797.3212583333,37926.1169645833,1871.20429375,38326.8455975,1470.47566083333,0.0374103650812192,896.455554315418,773.712645833333,44.6003256476441,43.2395833333333,79.4344618619063,77.6375
"355",7100,17,17,2003,2019,2011,12,12,1,12,6.5,19381.1344127451,19287.4469401961,18444.6121823529,842.834757843137,18557.2345622549,730.212377941176,0.0421547597872095,1117.94089379085,998.769901960784,43.4033499684667,39.9730392156863,85.3679326604815,81.5245098039216
"356",7110,17,17,2003,2019,2011,12,12,1,12,6.5,21294.9401210784,21139.732954902,19442.7262318627,1697.00672303922,20263.3590446078,876.373910294118,0.0370614945528878,945.805930905696,837.182083333333,42.284110158409,39.1421568627451,80.867128540613,77.9411764705882
"357",7120,17,17,2003,2019,2011,12,12,1,12,6.5,54671.3290735294,54372.5285593137,50142.4276382353,4230.10092107843,52733.8713833333,1638.65717598039,0.0293959415714422,811.703380699502,685.303406862745,38.8888444923375,35.6299019607843,81.0713285839085,77.1813725490196
"358",7130,17,17,2003,2019,2011,12,12,1,12,6.5,67939.3431676471,67767.6312784314,63746.3776931373,4021.25358529412,65926.1589279412,1841.4723504902,0.0272669646119001,879.994713408052,744.021911764706,39.8971812745677,37.8946078431373,81.9840754251544,78.1519607843137
"359",7140,20,20,2000,2019,2009.5,12,12,1,12,6.5,149249.080129583,148343.1677075,144437.64679125,3905.52091625,142964.51228125,5378.65542625,0.0367080184082071,1010.04649617991,922.925145833333,43.7509123756218,43.825,84.5351522995558,81.4625
"360",7150,20,20,2000,2019,2009.5,12,12,1,12,6.5,173775.792684167,172424.346928333,162888.115295,9536.23163333333,169470.080770833,2954.2661575,0.0174305055413051,751.729514940224,643.454541666667,41.2698347276242,40.2958333333333,71.1430313109885,73
"361",7160,17,17,2003,2019,2011,12,12,1,12,6.5,22641.3068117647,22478.3195147059,21444.570402451,1033.7491122549,21967.4590377451,510.860476960784,0.0255195254358511,693.812079248366,622.498406862745,38.2446641808484,34.6617647058824,73.8769356350694,72.2328431372549
"362",7200,20,20,2000,2019,2009.5,12,12,1,12,6.5,927922.000631667,921614.356470417,872173.09249625,49441.2639741667,907060.383122917,14553.9733475,0.0157305047334891,740.68789186987,652.7269375,39.8265425907811,38.66875,74.5672676317096,73
"363",7210,20,20,2000,2019,2009.5,12,12,1,12,6.5,358249.0080675,356386.07849875,344831.39174375,11554.686755,353460.102177917,2925.97632083333,0.00822526869028897,842.872823837512,761.423729166667,41.7688657970743,41.7208333333333,75.5882412661121,73.2666666666667
"364",7220,20,20,2000,2019,2009.5,12,12,1,12,6.5,222948.57692375,221539.56752125,212499.801549167,9039.76597208333,219139.92943875,2399.6380825,0.010831311113997,928.666146142324,816.967520833333,43.0919746560904,42.83125,75.8927152487351,73.4333333333333
"365",7240,20,20,2000,2019,2009.5,12,12,1,12,6.5,59514.1730220833,59057.8960775,54970.3584579167,4087.53761958333,57901.3884675,1156.50761,0.019100037725086,676.808258214586,568.8625,42.0324278402515,40.9333333333333,75.6566631551505,73.7666666666667
"366",7260,17,17,2003,2019,2011,12,12,1,12,6.5,94894.745704902,93958.5232642157,86830.5962230392,7127.92704117647,92503.8920637255,1454.6312004902,0.0162108359621831,578.777339778277,471.985416666667,34.5929340138416,30.6740196078431,71.310884081813,73.2598039215686
"367",7300,20,20,2000,2019,2009.5,12,12,1,12,6.5,23519.8858604167,23334.01235375,22695.4546454167,638.557708333333,22388.5739829167,945.438370833333,0.0428030498169188,969.040353869048,857.8764375,44.0269660392246,41.4125,78.9734607407537,75.7375
