"","soc_2010","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"114","23-1011",26,26,2000,2025,2012.5,1181323.84545,1175296.34728462,1158546.7594,16749.5878846154,768089.738084615,407206.6092,0.34529542156315,1836.16675038488,1742.75,46.2275137834919,45.8846153846154,122.896752679894,124
"115","23-1012",15,15,2011,2025,2018,17259.1836,17259.1836,16456.6202666667,802.563333333333,6876.19453333333,10382.9890666667,0.625488925070631,1010.58333333333,995.366666666667,38.3428691678692,34.2666666666667,116.887616064047,118.766666666667
"116","23-2011",26,26,2000,2025,2012.5,417533.213984615,414133.608169231,398746.783153846,15386.8250153846,55730.6319230769,358402.976246154,0.864032214060761,936.557267357094,854.788461538462,41.9619277819555,42.0192307692308,96.202352300568,94.8076923076923
"117","23-2090",26,26,2000,2025,2012.5,223896.379653846,221735.738188462,213145.980153846,8589.75803461538,51004.1586884615,170731.5795,0.774794391748637,928.343146148886,834.769230769231,43.0844446984561,43.7692307692308,93.4885806823659,92.5576923076923
"118","25-1000",26,26,2000,2025,2012.5,1351876.74459615,1340495.01949231,1312390.70071538,28104.3187769231,709720.524346154,630774.495146154,0.469795816795468,1150.20118617172,1046.53846153846,45.0345491486426,44.7884615384615,118.755635266299,123.192307692308
"119","25-2010",26,26,2000,2025,2012.5,745824.184946154,738013.399526923,715664.065161539,22349.3343653846,15706.5017923077,722306.897734615,0.978482866173705,607.345633138931,501.211538461538,39.5204957072093,38.1346153846154,97.679087296632,104
"120","25-2020",26,26,2000,2025,2012.5,3307523.43721923,3273753.19237308,3213869.75864231,59883.4337307692,637560.523657692,2636192.66871538,0.807476193411298,961.600226619594,899.75,43.2036259582112,42.6538461538462,114.056121521374,112.384615384615
"121","25-2030",26,26,2000,2025,2012.5,1202717.21471154,1191597.55875385,1177875.49664231,13722.0621115385,498696.386757692,692901.171996154,0.581261306660132,1036.58619686483,987.307692307692,43.3221659948476,42.8461538461538,115.979966614282,118.846153846154
"122","25-2050",26,26,2000,2025,2012.5,400753.409303846,397450.879103846,392409.633203846,5041.2459,61149.1018807692,336301.777223077,0.846590428814885,961.116563299316,914.365384615385,43.4352826184214,43.7307692307692,114.378742814614,118.153846153846
"123","25-3000",26,26,2000,2025,2012.5,964336.487865385,949437.702003846,915671.751515385,33765.9504884615,344191.210596154,605246.491407692,0.640705243585936,717.664075221482,556.730769230769,41.6413146550551,40.4230769230769,99.843678362799,109.538461538462
"124","25-4010",26,26,2000,2025,2012.5,54909.2564615385,54198.9095384615,52838.3521807692,1360.55735769231,18021.6708076923,36177.2387307692,0.652334959770943,1072.75665445665,844.826923076923,44.569156473697,43.1153846153846,110.735944910849,114
"125","25-4021",26,26,2000,2025,2012.5,210587.285588462,208559.281853846,205758.762357692,2800.51949615385,34060.5899115385,174498.691942308,0.83587937281708,832.05137760071,737.288461538462,47.3347536018997,48.4230769230769,111.623246104482,120.461538461538
"126","25-4031",23,23,2003,2025,2014,41103.9487652174,40468.9687652174,38649.6226782609,1819.34608695652,9298.89990869565,31170.0688565217,0.750248185914273,460.320048309179,364.152173913043,41.4814739332638,39.2173913043478,89.8865802640882,83.6739130434783
"127","25-9041",26,26,2000,2025,2012.5,1166968.24212692,1153835.66005769,1119518.88766923,34316.7723884615,147379.652403846,1006456.00765385,0.881108721155555,488.736748803501,418.692307692308,41.7082614097203,42.0769230769231,88.6127102986889,83.5
"128","25-90XX",23,23,2003,2025,2014,170599.72266087,169316.21576087,164876.350591304,4439.86516956522,42356.7498130435,126959.465947826,0.744951956318854,1018.85823657019,938.369565217391,45.2374008900299,46.1521739130435,110.415547245904,115.95652173913
"129","27-1010",26,26,2000,2025,2012.5,257077.410134615,254715.238130769,243094.058623077,11621.1795076923,125505.298326923,129209.939803846,0.502258320500068,987.415782338576,785,45.5912025880172,44.0576923076923,98.670459720509,107.634615384615
"130","27-1020",26,26,2000,2025,2012.5,920824.582153846,912930.605384615,869496.928526923,43433.6768576923,413039.128,499891.477384615,0.549815472525718,970.01136703696,876.961538461538,41.6071883357494,39.7692307692308,98.3376007994246,105.884615384615
"131","27-2011",23,23,2003,2025,2014,55977.8975043478,54635.3503521739,37073.2885869565,17562.0617652174,31099.4863521739,23535.864,0.435871328133867,715.75,512.239130434783,39.1510120517388,35.6086956521739,98.02488016887,100.065217391304
"132","27-2012",26,26,2000,2025,2012.5,173648.700976923,171362.674615385,160128.541992308,11234.1326230769,106895.452242308,64467.2223730769,0.375663061735646,1362.04032010434,1142.63461538462,40.8973310881233,38.4615384615385,104.536141856378,111
"133","27-2020",26,26,2000,2025,2012.5,284265.461226923,276695.375942308,264080.446438462,12614.9295038462,182451.277511538,94244.0984307692,0.328425189492152,721.383070566339,570.615384615385,36.8526817288538,32.75,97.0682551340316,103.115384615385
"134","27-2030",26,26,2000,2025,2012.5,24378.4815538462,23278.5904,21308.9738615385,1969.61653846154,4959.40846153846,18319.1819384615,0.801087920717268,541.834935897436,520.557692307692,29.2351023155881,25.7115384615385,79.001769666906,73.4615384615385
"135","27-2040",26,26,2000,2025,2012.5,198030.014280769,195262.510692308,184241.470961538,11021.0397307692,131737.237426923,63525.2732653846,0.327760137454706,713.96544865391,500.192307692308,45.0085371303195,43.6538461538462,97.7053557626541,104.076923076923
"136","27-2099",23,23,2003,2025,2014,53161.305273913,52085.2305956522,47186.4600869565,4898.77050869565,30960.7442826087,21124.4863130435,0.433474589966049,857.710144927536,806.869565217391,40.8088753624063,36.304347826087,90.2299507350348,88.2826086956522
"137","27-3010",26,26,2000,2025,2012.5,53021.1166769231,52729.0605230769,48678.8097538462,4050.25076923077,40822.6491038462,11906.4114192308,0.218949074095421,870.33692002442,677.557692307692,41.3236157699239,39.1923076923077,90.861645228086,86.0192307692308
"138","27-3020",23,23,2003,2025,2014,90489.0415565217,89760.3837304348,84835.624326087,4924.75940434783,45858.1456956522,43902.2380347826,0.493511031772824,986.497758762976,768.217391304348,41.3415752856407,38.4347826086956,109.553754545191,111
"139","27-3031",26,26,2000,2025,2012.5,151695.797346154,151156.071576923,147140.789269231,4015.28230769231,57246.2743423077,93909.7972346154,0.624905275525092,1278.24895549768,953.557692307692,40.8265041427861,38.8846153846154,107.310592588431,111
"140","27-3041",26,26,2000,2025,2012.5,182350.5184,180654.585323077,174469.453569231,6185.13175384615,80113.2872461538,100541.298076923,0.567188404064747,1085.96316468043,878.230769230769,42.5978531543052,41.1346153846154,108.395515814787,111
"141","27-3042",26,26,2000,2025,2012.5,67832.9111115385,67400.9399576923,61266.2834192308,6134.65653846154,28628.7236807692,38772.2162769231,0.573943137069407,1322.43200549451,1172.65384615385,45.9050443872186,46.1153846153846,107.790360211432,111.461538461538
"142","27-3043",26,26,2000,2025,2012.5,227730.470292308,225497.955296154,213545.2384,11952.7168961538,90877.7388538462,134620.216442308,0.598471382098984,1064.26011151681,956.884615384615,46.1827693925476,44.7307692307692,109.769417794599,111
