"","year","soc_2010_major","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"396",2005,"41-0000",16643088.9,16401721.68,15596091.8,805629.88,8509101.01999998,7892620.66000001,0.481206839988277,677.621790423317,500,39.5564596329446,40,85.467555407878,81
"397",2006,"41-0000",16907650.12,16663111.31,15892831.42,770279.890000001,8390289.32,8272821.99,0.496475228190743,648.9375,455.5,39.389946755708,39,85.1033925962539,81
"398",2007,"41-0000",17112550.12,16876146.75,16135800.63,740346.12,8607579.74,8268567.01000001,0.489955860925422,702.227335164835,508,39.8458089311859,40,85.4653710361928,81
"399",2008,"41-0000",16854275.1299999,16628604.0999999,15826300.3599999,802303.74,8447460.22000001,8181143.88,0.491992222004972,675.628324468085,500,39.8503089309118,39,86.3105880853825,81
"400",2009,"41-0000",16655533.3899999,16443140.6199999,14979471.3599999,1463669.26,8328267.95000002,8114872.67,0.493511115518271,714.994202898551,509,40.2136384866885,40,86.217507867424,81
"401",2010,"41-0000",16881090.6300001,16668944.03,15054020.06,1614923.97,8102031.17000002,8566912.85999999,0.51394454529223,668.468307233408,500,39.8373725086554,40,86.349191036308,81
"402",2011,"41-0000",16424549.6599999,16252696.6399999,14811580.88,1441115.76,7971435.73000001,8281260.91000004,0.509531500736853,715.970297029703,480,40.147070389304,40,86.0961613881455,81
"403",2012,"41-0000",16404036.36,16220855.32,14889473.83,1331381.49,8258799.21999998,7962056.10000003,0.490853037212098,713.940119760479,520,39.9403840353876,39,86.6143814474269,81
"404",2013,"41-0000",16237496.03,16036019.35,14763220.67,1272798.68,8170202.96999999,7865816.38,0.490509284649872,751.273151750973,576,40.3867392180572,40,87.0493443124964,81
"405",2014,"41-0000",34047338.35,33563808.6499999,31265381.47,2298427.18,17134688.53,16429120.12,0.489489148604117,762.883880825057,540,40.6633040351578,40,87.3355472073341,81
"406",2015,"41-0000",16773554.0599999,16571816.12,15616328.13,955487.990000001,8302426.73000001,8269389.39,0.499003207018447,792.169056603774,571,40.658298178825,40,87.5238174396304,81
