,id,label,u_perc_change,ltu_perc_change
182,182,medical transcriptionists,19.107023973363184,13.259316609955357
183,183,pharmacy aides,3.5308977408333795,-0.8108796346253232
184,184,veterinary assistants and laboratory animal caretakers,15.639114989951953,10.113663781992408
185,185,phlebotomists,-3.1967809529123796,-8.293653899907154
186,186,first-line supervisors of correctional officers,-3.1679062624926657,-8.230664721714422
187,187,first-line supervisors of police and detectives,-3.1917662856879723,-8.28271456989921
188,188,first-line supervisors of fire fighting and prevention workers,-3.1926801516846854,-8.284708138220486
189,189,firefighters,-2.97995728585402,-7.820660271153913
190,190,fire inspectors,-2.8356527575604416,-7.505864735181483
191,191,"bailiffs, correctional officers, and jailers",-2.408919033855498,-6.574959289179973
192,192,detectives and criminal investigators,-2.702729406995294,-7.215896860443325
193,193,miscellaneous law enforcement workers,-2.455468953688452,-6.676506393325328
194,194,police officers,-2.71382230319299,-7.240095645091945
195,195,animal control workers,-2.921006540647895,-7.69206117830054
196,196,private detectives and investigators,-2.757129349325796,-7.334568527959395
197,197,security guards and gaming surveillance officers,19.72225164795513,13.818008966664575
198,198,crossing guards,-2.384991776539589,-6.522762771994175
199,199,"lifeguards and other recreational, and all other protective service workers",0.5841868839204895,-3.4517579266026472
200,200,transportation security screeners,-3.196780952912395,-8.293653899907177
201,201,chefs and head cooks,-3.075350845428606,-8.028758153248395
202,202,first-line supervisors of food preparation and serving workers,-1.2105396325269078,-5.063990008425751
203,203,cooks,18.503124155554918,12.711111886573994
204,204,food preparation workers,16.755387404567383,11.125617511129748
205,205,bartenders,7.1752845021293625,2.4655588666127946
206,206,"combined food preparation and serving workers, including fast food",22.97014193100511,16.7702011824409
207,207,"counter attendants, cafeteria, food concession, and coffee shop",28.85402855921087,22.130801983260472
208,208,waiters and waitresses,25.796112320585717,19.34276335009148
209,209,"food servers, nonrestaurant",15.63911498995233,10.113663781992628
210,210,"miscellaneous food preparation and serving related workers, including dining room and cafeteria attendants and bartender helpers",21.63496084629567,15.555989348799134
211,211,dishwashers,7.175284502129342,2.4655588666127946
212,212,"hosts and hostesses, restaurant, lounge, and coffee shop",30.479877121812507,23.615062358249443
213,213,first-line supervisors of housekeeping and janitorial workers,25.796112320585852,19.342763350091552
214,214,"first-line supervisors of landscaping, lawn service, and groundskeeping workers",-2.17617990306053,-6.067246604854013
215,215,janitors and building cleaners,0.0827818416684875,-3.900962978836348
216,216,maids and housekeeping cleaners,1.6776172221361765,-2.472409752115536
217,217,pest control workers,0.08278184166853088,-3.900962978836176
218,218,grounds maintenance workers,19.93004383101577,14.0067696235438
219,219,first-line supervisors of gaming workers,-2.5647628127425652,-6.914927317091552
220,220,first-line supervisors of personal service workers,-3.1059861335481376,-8.095588016852275
221,221,animal trainers,-3.075350845428511,-8.028758153248367
222,222,nonfarm animal caretakers,11.548001347968173,6.411059021988968
223,223,gaming services workers,25.069690608487875,18.6811753822475
224,224,motion picture projectionists,30.479877121812923,23.61506235824957
225,225,"ushers, lobby attendants, and ticket takers",28.854028559210906,22.130801983260355
226,226,miscellaneous entertainment attendants and related workers,-2.1283589537636893,-5.9629267921450415
227,227,embalmers and funeral attendants,-2.4668432483459357,-6.7013190393690065
228,228,"morticians, undertakers, and funeral directors",-3.196780952912524,-8.293653899907177
229,229,barbers,9.706311088123705,4.747641495899192
230,230,"hairdressers, hairstylists, and cosmetologists",-3.0622869236858983,-8.000259641832573
231,231,miscellaneous personal appearance workers,-2.3357705698936435,-6.415388344382151
232,232,"baggage porters, bellhops, and concierges",-2.310450349277663,-6.360153124018447
233,233,tour and travel guides,-2.4005950390748163,-6.5568007710144425
234,234,childcare workers,-3.095885034057165,-8.073552803780203
235,235,personal care aides,4.90583663000006,0.42384110679636283
236,236,recreation and fitness workers,-3.143457601196242,-8.177330779060897
237,237,residential advisors,-3.1209352809294333,-8.128199085388118
