"","date","ue","eu","ee","en","un","ne","nu","u","Etotal","Utotal","LFtotal","NILFtotal","EEtotal","ENtotal","EUtotal","UEtotal","UNtotal","NEtotal","NUtotal","EE","EU","EN","UE","UN","NE","NU"
"44","1999-08-01",0.371147892848312,0.0112072492032184,0.0361411975719847,0,0,0,0,0.0417127355800358,97171166.7469006,4229707.8705,101400874.617401,50464215.5658006,3511882.3357,0,1089021.4811,1569847.1635,0,0,0,0.0346336493541185,0.0107397641806249,0,0.0154815939154691,0,0,0
"45","1999-09-01",0.312826831923468,0.0104338764440264,0.0280830272349136,1,1,0,0,0.0399030510075034,96976910.1856008,4030504.00040001,101007414.186001,51564281.0680998,2723405.2099,96976910.1856008,1011845.0988,1260849.7975,4030504.00040001,0,0,0.0269624287667138,0.0100175329400744,0.960096948992497,0.0124827450307579,0.0399030510075034,0,0
"46","1999-10-01",0.318218180761418,0.0113673641535847,0.0265557871370014,0,0,0,0,0.038608569592754,97808506.7108007,3927897.0237,101736403.734501,51628164.9685002,2597381.8844,0,1111824.9131,1249928.2451,0,0,0,0.025530506181232,0.0109284864835748,0,0.0122859487776067,0,0,0
"47","1999-11-01",0.284002163337347,0.0111650724134891,0.0261302208771436,1,1,0,0,0.0383355001839748,97362935.6928001,3881246.35969999,101244182.0525,51860914.1411004,2544115.0149,97362935.6928001,1087064.2274,1102282.3626,3881246.35969999,0,0,0.0251285057899006,0.0107370537779278,0.961664499816027,0.0108873649848681,0.0383355001839748,0,0
"48","1999-12-01",0.30703784731834,0.0163297311905002,0.0278788421446947,0,0,0,0,0.0369852395105243,97669308.0856001,3751056.4745,101420364.5601,51519725.5769003,2722907.2225,0,1594913.5466,1151716.3051,0,0,0,0.026847736490697,0.0157257721712771,0,0.0113558683218646,0,0,0
"49","2000-01-01",0.297153562325825,0.0110583423251551,0.0269415906820956,0,0,0,0,0.0442913063905506,97929257.5829002,4538427.6414,102467685.224301,52833038.5879999,2638369.9736,0,1082935.254,1348609.941,0,0,0,0.0257483124345459,0.01056855389706,0,0.0131613194740167,0,0,0
"50","2000-02-01",0.336394367623183,0.0108438180587767,0.028981943841978,0,0,0,0,0.0442790975049233,97155068.1124993,4501250.0227,101656318.135199,52162519.7312996,2815742.728,0,1053531.8821,1514195.1549,0,0,0,0.0276986495247168,0.0103636635816265,0,0.0148952390040939,0,0,0
"51","2000-03-01",0.321242079590865,0.00945016701997946,0.0256814442330203,0,0,0,0,0.0434496974674661,98323522.9213991,4466181.5626,102789704.483999,52864963.2748001,2525090.0707,0,929173.7136,1434725.453,0,0,0,0.024565593250568,0.00903956012194434,0,0.0139578711720427,0,0,0
"52","2000-04-01",0.31038072621074,0.0105981224063088,0.0277847035672601,1,1,0,0,0.0388058995389824,98570624.9040998,3979551.8571,102550176.7612,52801045.5861001,2738755.5934,98570624.9040998,1044663.5484,1235176.1954,3979551.8571,0,0,0.0267064931519086,0.0101868527329077,0.961194100461018,0.0120446032801704,0.0388058995389824,0,0
"53","2000-05-01",0.358438027402106,0.0126468314579038,0.03382183551011,1,1,0,0,0.039390202987852,97427270.1111985,3995045.6035,101422315.714699,52655004.3501002,3295169.10390001,97427270.1111985,1232146.2645,1431976.2655,3995045.6035,0,0,0.0324895865439448,0.0121486701996238,0.960609797012144,0.0141189466579342,0.039390202987852,0,0
