"","occ_code","occ_title","occ_group","tot_emp","emp_prse","year"
"10786","51-9110","Packaging and Filling Machine Operators and Tenders","broad",367700,1.3,2012
"10787","51-9111","Packaging and Filling Machine Operators and Tenders","detailed",367700,1.3,2012
"10788","51-9120","Painting Workers","broad",142570,1.2,2012
"10789","51-9121","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","detailed",79970,1.7,2012
"10790","51-9122","Painters, Transportation Equipment","detailed",46290,1.9,2012
"10791","51-9123","Painting, Coating, and Decorating Workers","detailed",16310,3.7,2012
"10792","51-9140","Semiconductor Processors","broad",21380,8.2,2012
"10793","51-9141","Semiconductor Processors","detailed",21380,8.2,2012
"10794","51-9150","Photographic Process Workers and Processing Machine Operators","broad",45760,2.6,2012
"10795","51-9151","Photographic Process Workers and Processing Machine Operators","detailed",45760,2.6,2012
"10796","51-9190","Miscellaneous Production Workers","broad",832240,0.9,2012
"10797","51-9191","Adhesive Bonding Machine Operators and Tenders","detailed",16800,3,2012
"10798","51-9192","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","detailed",16050,2.9,2012
"10799","51-9193","Cooling and Freezing Equipment Operators and Tenders","detailed",8130,5.1,2012
"10800","51-9194","Etchers and Engravers","detailed",8610,5.2,2012
"10801","51-9195","Molders, Shapers, and Casters, Except Metal and Plastic","detailed",31010,3.2,2012
"10802","51-9196","Paper Goods Machine Setters, Operators, and Tenders","detailed",95690,2.4,2012
"10803","51-9197","Tire Builders","detailed",17360,6.5,2012
"10804","51-9198","Helpers--Production Workers","detailed",419840,1.3,2012
"10805","51-9199","Production Workers, All Other","detailed",218740,2.4,2012
"10806","53-0000","Transportation and Material Moving Occupations","major",8771690,0.3,2012
"10807","53-1000","Supervisors of Transportation and Material Moving Workers","minor",372930,0.5,2012
"10808","53-1010","Aircraft Cargo Handling Supervisors","broad",6720,6.8,2012
"10809","53-1011","Aircraft Cargo Handling Supervisors","detailed",6720,6.8,2012
"10810","53-1020","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","broad",168910,0.7,2012
"10811","53-1021","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","detailed",168910,0.7,2012
"10812","53-1030","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators","broad",197300,0.8,2012
"10813","53-1031","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators","detailed",197300,0.8,2012
"10814","53-2000","Air Transportation Workers","minor",216470,3.1,2012
"10815","53-2010","Aircraft Pilots and Flight Engineers","broad",101260,2.9,2012
"10816","53-2011","Airline Pilots, Copilots, and Flight Engineers","detailed",66270,4.1,2012
"10817","53-2012","Commercial Pilots","detailed",34990,3,2012
"10818","53-2020","Air Traffic Controllers and Airfield Operations Specialists","broad",30250,1.2,2012
"10819","53-2021","Air Traffic Controllers","detailed",23260,0.8,2012
"10820","53-2022","Airfield Operations Specialists","detailed",6990,4.7,2012
"10821","53-2030","Flight Attendants","broad",84960,4.9,2012
"10822","53-2031","Flight Attendants","detailed",84960,4.9,2012
"10823","53-3000","Motor Vehicle Operators","minor",3618180,0.4,2012
"10824","53-3010","Ambulance Drivers and Attendants, Except Emergency Medical Technicians","broad",18540,5,2012
"10825","53-3011","Ambulance Drivers and Attendants, Except Emergency Medical Technicians","detailed",18540,5,2012
"10826","53-3020","Bus Drivers","broad",652590,0.8,2012
"10827","53-3021","Bus Drivers, Transit and Intercity","detailed",162840,2.2,2012
"10828","53-3022","Bus Drivers, School or Special Client","detailed",489750,0.9,2012
"10829","53-3030","Driver/Sales Workers and Truck Drivers","broad",2719630,0.4,2012
