X.1,year,SOC_minor,lf_total,lf,emp,unemp,male,female,female_share,mean_weekly_earnings,median_weekly_earnings,mean_age,median_age,mean_educ,median_educ,id,h_mean,a_mean,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,mu,sigma
43,2012,37-1000,555510.03,552190.72,495271.08,56919.64,385443.33,166747.39,0.301974270773692,725.941176470588,530,45.3454038997214,47,77.1994287589621,73,43,22.106666666666666,45980.833333333336,13.07,16.051666666666666,20.59166666666667,26.761666666666667,33.67,27187.5,33386.666666666664,42830.833333333336,55665,70032.5,10.675051914769076,0.3712855844674078
44,2012,37-2000,4296676.29000001,4244934.86000001,3804518.20000001,440416.66,2025975.92,2218958.94,0.522730975428914,427.119480519481,374,44.7015796703297,46,66.5936921844779,73,44,13.701666666666666,28496.666666666668,9.3325,10.554166666666667,12.519166666666667,15.688333333333333,20.03,19408.333333333332,21950,26039.166666666668,32633.333333333332,41664.166666666664,10.21356471680336,0.2971680578842502
45,2012,37-3000,1390773.49,1362395.68,1139520.09,222875.59,1287895.22,74500.46,0.0546834235410964,463.871428571429,423,39.7151589242054,39,62.925358967668,73,45,15.315833333333334,31858.333333333332,10.329166666666666,11.93,14.245000000000001,17.548333333333332,21.895833333333332,21483.333333333332,24816.666666666668,29629.166666666668,36501.666666666664,45540.833333333336,10.324459164735428,0.2915918214952923
46,2012,39-1000,372146.94,364477.73,350753.87,13723.86,153891.11,210586.62,0.577776370589226,838.105263157895,600,42.1729957805907,42.5,87.066459561192,81,46,20.92,43514.166666666664,12.125833333333333,14.945833333333333,19.385833333333334,25.391666666666666,32.00833333333333,25218.333333333332,31087.5,40324.166666666664,52816.666666666664,66575.83333333333,10.613054570389655,0.3818189530796784
47,2012,39-2000,266947.15,265745.42,238640.19,27105.23,75888.66,189856.76,0.714430976834897,414.08,373.5,37.8255813953488,36,82.385701623757,81,47,13.031666666666666,27105,9.063333333333334,10.170833333333334,11.7425,14.315000000000001,18.813333333333333,18850.833333333332,21154.166666666668,24425,29775.833333333332,39133.333333333336,10.156689865457539,0.2781297063722071
48,2012,39-3000,350848.67,341976.64,291252.8,50723.84,185526.31,156450.33,0.457488353590467,574.935483870968,259,38.4533333333333,32.5,82.6409284563998,81,48,11.903333333333334,24762.5,8.548333333333334,9.419166666666666,10.833333333333334,12.8575,16.4925,17779.166666666668,19590.833333333332,22532.5,26742.5,34303.333333333336,10.065664165469018,0.25083338214903483
49,2012,39-4000,58626.28,58626.28,53622.77,5003.51,40198.05,18428.23,0.314333947164992,894.25,661.5,47.3055555555556,49,98.6661326626898,111,49,19.244,40029,10.020999999999999,11.929,15.853,23.393,33.02,20841,24811,32973,48654,68676,10.479361712333876,0.47261820612683053
50,2012,39-5000,1262608.05,1256086.46,1187166.9,68919.56,185934.75,1070151.71,0.851972968484988,419.025,389,40.7440401505646,39,79.5200890550162,81,50,15.185833333333333,31585.833333333332,9.186666666666666,10.545,12.6625,17.10333333333333,24.186666666666667,19113.333333333332,21931.666666666668,26339.166666666668,35571.666666666664,50307.5,10.26757095921443,0.37344009068673606
51,2012,39-6000,58609.25,58609.25,54116.11,4493.14,47378.86,11230.39,0.191614634208764,379,215,43.452380952381,47,80.1940429198463,73,51,14.64,30446.666666666668,9.628333333333334,11.108333333333333,13.264166666666666,16.848333333333333,21.801666666666666,20027.5,23102.5,27586.666666666668,35042.5,45347.5,10.272814556762434,0.3166800058552493
52,2012,39-7000,39575.54,38409.15,26326.96,12082.19,30537.21,7871.94,0.204949601852684,327.5,225,47.1851851851852,29.5,83.5674476003765,73,52,14.865833333333333,30920.833333333332,9.444166666666668,10.880833333333333,13.35,17.21333333333333,22.226666666666667,19643.333333333332,22631.666666666668,27767.5,35800,46232.5,10.274272338003547,0.3352524436033327
