"","year","occ_code"
"929",2001,"25-1124"
"930",2001,"25-1125"
"931",2001,"25-1126"
"932",2001,"25-1191"
"933",2001,"25-1192"
"934",2001,"25-1193"
"935",2001,"25-1194"
"936",2001,"25-2011"
"937",2001,"25-2012"
"938",2001,"25-2021"
"939",2001,"25-2022"
"940",2001,"25-2023"
"941",2001,"25-2031"
"942",2001,"25-2032"
"943",2001,"25-2041"
"944",2001,"25-2042"
"945",2001,"25-2043"
"946",2001,"25-3011"
"947",2001,"25-3021"
"948",2001,"25-4010"
"949",2001,"25-4021"
"950",2001,"25-4031"
"951",2001,"25-9011"
"952",2001,"25-9021"
"953",2001,"25-9031"
"954",2001,"25-9041"
"955",2001,"27-0000"
"956",2001,"27-1011"
"957",2001,"27-1013"
"958",2001,"27-1014"
"959",2001,"27-1021"
"960",2001,"27-1022"
"961",2001,"27-1023"
"962",2001,"27-1024"
"963",2001,"27-1025"
"964",2001,"27-1026"
"965",2001,"27-1027"
"966",2001,"27-2011"
"967",2001,"27-2012"
"968",2001,"27-2021"
"969",2001,"27-2022"
"970",2001,"27-2023"
"971",2001,"27-2031"
"972",2001,"27-2032"
"973",2001,"27-2041"
"974",2001,"27-2042"
"975",2001,"27-3010"
"976",2001,"27-3020"
"977",2001,"27-3031"
"978",2001,"27-3041"
"979",2001,"27-3042"
"980",2001,"27-3043"
"981",2001,"27-3091"
"982",2001,"27-4011"
"983",2001,"27-4012"
"984",2001,"27-4013"
"985",2001,"27-4014"
"986",2001,"27-4021"
"987",2001,"27-4031"
"988",2001,"27-4032"
"989",2001,"29-0000"
"990",2001,"29-1011"
"991",2001,"29-1020"
"992",2001,"29-1031"
"993",2001,"29-1041"
"994",2001,"29-1051"
"995",2001,"29-1061"
"996",2001,"29-1062"
"997",2001,"29-1063"
"998",2001,"29-1064"
"999",2001,"29-1065"
"1000",2001,"29-1066"
"1001",2001,"29-1067"
"1002",2001,"29-1071"
"1003",2001,"29-1081"
"1004",2001,"29-1111"
"1005",2001,"29-1121"
"1006",2001,"29-1122"
"1007",2001,"29-1123"
"1008",2001,"29-1124"
"1009",2001,"29-1125"
"1010",2001,"29-1126"
"1011",2001,"29-1127"
"1012",2001,"29-1131"
"1013",2001,"29-2011"
"1014",2001,"29-2012"
"1015",2001,"29-2021"
"1016",2001,"29-2031"
"1017",2001,"29-2032"
"1018",2001,"29-2033"
"1019",2001,"29-2034"
"1020",2001,"29-2041"
"1021",2001,"29-2051"
"1022",2001,"29-2052"
"1023",2001,"29-2053"
"1024",2001,"29-2054"
"1025",2001,"29-2055"
"1026",2001,"29-2056"
"1027",2001,"29-2061"
"1028",2001,"29-2071"
"1029",2001,"29-2081"
"1030",2001,"29-2091"
"1031",2001,"29-9010"
"1032",2001,"29-9091"
"1033",2001,"31-0000"
"1034",2001,"31-1011"
"1035",2001,"31-1012"
"1036",2001,"31-1013"
"1037",2001,"31-2011"
"1038",2001,"31-2012"
"1039",2001,"31-2021"
"1040",2001,"31-2022"
"1041",2001,"31-9011"
"1042",2001,"31-9091"
"1043",2001,"31-9092"
"1044",2001,"31-9093"
"1045",2001,"31-9094"
"1046",2001,"31-9095"
"1047",2001,"31-9096"
"1048",2001,"33-0000"
"1049",2001,"33-1011"
"1050",2001,"33-1012"
"1051",2001,"33-1021"
"1052",2001,"33-2011"
"1053",2001,"33-2021"
"1054",2001,"33-2022"
"1055",2001,"33-3011"
"1056",2001,"33-3012"
"1057",2001,"33-3021"
"1058",2001,"33-3031"
"1059",2001,"33-3041"
"1060",2001,"33-3051"
"1061",2001,"33-3052"
"1062",2001,"33-9011"
"1063",2001,"33-9021"
"1064",2001,"33-9031"
"1065",2001,"33-9032"
"1066",2001,"33-9091"
"1067",2001,"35-0000"
