"","year","month","value","value_smooth"
"269",2022,5,31.5883021035765,30.7704804441506
"270",2022,6,30.3798605102434,30.879023200635
"271",2022,7,28.9265861322242,31.0082078540574
"272",2022,8,30.4547993270163,31.1573775682171
"273",2022,9,32.2173489344214,31.356403493506
"274",2022,10,32.08012858414,31.6106788171947
"275",2022,11,34.4687807759201,31.8828297584005
"276",2022,12,30.2729853176237,32.1354825362408
"277",2023,1,31.3247021484953,32.3312633698332
"278",2023,2,32.2833078926511,32.4947433641301
"279",2023,3,32.5896250957827,32.6616308019993
"280",2023,4,34.952417142619,32.8112576694307
"281",2023,5,34.0751149756077,32.9229559524146
"282",2023,6,31.8166931426671,32.9664015790389
"283",2023,7,32.3480488316768,32.9489105514044
"284",2023,8,31.3978130937192,32.9062749665211
"285",2023,9,34.087069213724,32.8742869213986
"286",2023,10,33.7718653825363,32.8887385130468
"287",2023,11,33.4450081314064,32.9272526984981
"288",2023,12,32.6393732649637,32.9585976383196
"289",2024,1,31.3592514898313,33.0052832348228
"290",2024,2,33.1920564268658,33.0898193903193
"291",2024,3,33.2000160529285,33.2058207646247
"292",2024,4,32.6110772783873,33.3343107540734
"293",2024,5,34.0567530500767,33.4789123657554
"294",2024,6,33.8769059821686,33.6432486067606
"295",2024,7,32.1715050174359,33.8309424841786
"296",2024,8,33.8806680595335,34.044308966999
"297",2024,9,34.7782362352548,34.2820444543781
"298",2024,10,36.1094256069693,34.5423440986567
"299",2024,11,34.0866387983943,34.8234030521753
