"","label","id","Interval","classification","acs_occ_code","median_edu","median_earnings","total_employment_2010","log_median_earnings","log_total_employment_2010","auto_prob_average","women_pct"
"138","editors",137,NA,"Arts, design, entertainment, sports and media",2830,9.572792,40199.77,2095,10.60161655,7.647308832,0.055,0.566
"139","technical writers",138,NA,"Arts, design, entertainment, sports and media",2840,9.440095,48492.43,843,10.78916298,6.736966958,0.89,0.538
"140","writers and authors",139,NA,"Arts, design, entertainment, sports and media",2850,9.716164,30752.27,2586,10.33371909,7.857867559,0.038,0.538
"141","miscellaneous media and communication workers",140,NA,"Arts, design, entertainment, sports and media",2860,8.490231,22152.62,1126,10.00571105,7.026426809,0.38,0.744
"142","broadcast and sound engineering technicians and radio operators, and media and communication equipment workers, all other",141,NA,"Arts, design, entertainment, sports and media",2900,7.7022133,34407.79,994,10.44603827,6.901737207,0.6,0.122
"143","photographers",142,NA,"Arts, design, entertainment, sports and media",2910,8.082272,15248.11,1884,9.63221084,7.541152455,0.021,0.485
"144","television, video, and motion picture camera operators and editors",143,NA,"Arts, design, entertainment, sports and media",2920,8.4438095,32355.07,525,10.38452601,6.263398263,0.455,0.188
"145","chiropractors",144,NA,"Healthcare practitioners and technical ",3000,10.866667,51441.03,585,10.84819138,6.371611847,0.027,0.411
"146","dentists",145,NA,"Healthcare practitioners and technical ",3010,10.975898,103485.67,1950,11.54718843,7.575584652,0.010333333,0.395
"147","dietitians and nutritionists",146,NA,"Healthcare practitioners and technical ",3030,9.413145,33422.58,1065,10.416987,6.970730078,0.0039,0.863
"148","optometrists",147,NA,"Healthcare practitioners and technical ",3040,10.949153,67947.7,413,11.12649357,6.023447593,0.14,0.839
"149","pharmacists",148,NA,"Healthcare practitioners and technical ",3050,10.368301,85751.44,3079,11.35920816,8.032360148,0.012,0.578
"150","physicians and surgeons",149,NA,"Healthcare practitioners and technical ",3060,10.958114,164028.34,9669,12.0077945,9.17668017,0,0.3275
"151","physician assistants",150,NA,"Healthcare practitioners and technical ",3110,9.6944685,62831.27,1175,11.04820816,7.069023427,0.14,0.688
"152","podiatrists",151,NA,"Healthcare practitioners and technical ",3120,10.98,84714,100,11.34703616,4.605170186,0.0046,0.839
"153","occupational therapists",152,NA,"Healthcare practitioners and technical ",3150,10.132173,48020.06,976,10.77937412,6.883462586,0.0035,0.886
"154","physical therapists",153,NA,"Healthcare practitioners and technical ",3160,10.24609,57031.18,2174,10.95135341,7.684324068,0.021,0.675
"155","radiation therapists",154,NA,"Healthcare practitioners and technical ",3200,8.793333,72232.67,150,11.18764772,5.010635294,0.34,0.839
"156","recreational therapists",155,NA,"Healthcare practitioners and technical ",3210,8.819876,28535.78,161,10.25891402,5.081404365,0.0028,0.839
"157","respiratory therapists",156,NA,"Healthcare practitioners and technical ",3220,8.368683,46694.78,1207,10.75138766,7.095893221,0.066,0.624
"158","speech-language pathologists",157,NA,"Healthcare practitioners and technical ",3230,10.8475485,46595.41,1489,10.74925732,7.305860033,0.0064,0.943
"159","other therapists, including exercise physiologists",158,NA,"Healthcare practitioners and technical ",3245,10.012939,33460.93,1623,10.41813377,7.392031568,0,0.839
"160","veterinarians",159,NA,"Healthcare practitioners and technical ",3250,10.938733,68860.06,963,11.13983161,6.870053412,0.038,0.691
"161","registered nurses",160,NA,"Healthcare practitioners and technical ",3255,9.047441,51315.11,31935,10.84574053,10.37145787,0,0.874
"162","nurse anesthetists",161,NA,"Healthcare practitioners and technical ",3256,10.463768,135249.64,276,11.81487754,5.620400866,0,0.874
"163","nurse practitioners and nurse midwives",162,NA,"Healthcare practitioners and technical ",3258,10.821265,74393.82,1091,11.21712815,6.994849986,0,0.898
"164","audiologists",163,NA,"Healthcare practitioners and technical ",3140,10.856287,54477.84,167,10.90554929,5.117993812,0.0033,0.839
"165","health diagnosing and treating practitioners, all other",164,NA,"Healthcare practitioners and technical ",3260,10.068826,19661.13,247,9.886398869,5.509388337,0.02,0.3275
"166","clinical laboratory technologists and technicians",165,NA,"Healthcare practitioners and technical ",3300,8.673439,38841.91,3987,10.5672551,8.290794347,0.685,0.763
"167","dental hygienists",166,NA,"Healthcare practitioners and technical ",3310,8.576014,38870.11,1776,10.56798085,7.482118924,0.68,0.957
"168","diagnostic related technologists and technicians",167,NA,"Healthcare practitioners and technical ",3320,8.019469,45378.31,3544,10.72278952,8.173011312,0.236666667,0.732
"169","emergency medical technicians and paramedics",168,NA,"Healthcare practitioners and technical ",3400,7.327189,37213.5,1953,10.52442688,7.577121931,0.049,0.3445
"170","health practitioner support technologists and technicians",169,NA,"Healthcare practitioners and technical ",3420,7.3345246,24933.63,5877,10.12397277,8.678801707,0.260333333,0.7786
"171","licensed practical and licensed vocational nurses",170,NA,"Healthcare practitioners and technical ",3500,6.9598856,30468.43,8027,10.32444634,8.990566138,0.058,0.887
"172","medical records and health information technicians",171,NA,"Healthcare practitioners and technical ",3510,7.153379,24735.21,1317,10.11598301,7.183111702,0.91,0.889
"173","opticians, dispensing",172,NA,"Healthcare practitioners and technical ",3520,7.196918,30479.85,584,10.32482109,6.369900983,0.71,0.839
"174","miscellaneous health technologists and technicians",173,NA,"Healthcare practitioners and technical ",3535,7.693166,37720.87,1434,10.5379688,7.268223021,0.0035,0.727
"175","other healthcare practitioners and technical occupations",174,NA,"Healthcare practitioners and technical ",3540,8.995825,49143.94,958,10.80250882,6.864847778,0.142366667,0.667
"176","nursing, psychiatric, and home health aides",175,NA,"Healthcare support",3600,6.3782077,17408.19,26422,9.764696064,10.18195228,0.43,0.7765
"177","occupational therapy assistants and aides",176,NA,"Healthcare support",3610,8.09816,35678.77,163,10.48231111,5.093750201,0.149,0.687
"178","physical therapist assistants and aides",177,NA,"Healthcare support",3620,7.9751477,27441.37,845,10.21980701,6.739336627,0.314,0.687
